Activity_ActivityIdentifier,Site_Abb,Water_Year,Activity_StartDate,variable,method1_value,method2_value,difference_method1_minus_method2,exception_type
d29cc968-cfa9-4152-862b-9b5a5b26dc63,"Hudson R, NY",2019,2019-04-16,Turbidity_FNU,,12.2,,method1_missing_method2_has_value
0e74f456-cda4-42e8-9b3a-557b5a1d1e44,"Maple Creek, NE",2013,2012-10-17,Discharge_cfs,3.0,2.98,0.020000000000000018,values_differ
0e74f456-cda4-42e8-9b3a-557b5a1d1e44,"Maple Creek, NE",2013,2012-10-17,Dissolved_Oxygen_mg_L,10.0,,,method2_missing_method1_has_value
0e74f456-cda4-42e8-9b3a-557b5a1d1e44,"Maple Creek, NE",2013,2012-10-17,Specific_Conductance,428.0,,,method2_missing_method1_has_value
0e74f456-cda4-42e8-9b3a-557b5a1d1e44,"Maple Creek, NE",2013,2012-10-17,Water_Temperature_C,13.2,,,method2_missing_method1_has_value
0e74f456-cda4-42e8-9b3a-557b5a1d1e44,"Maple Creek, NE",2013,2012-10-17,pH,7.7,,,method2_missing_method1_has_value
30754441-8c59-4aa4-83e7-c1442d1d33f1,"Maple Creek, NE",2013,2012-11-15,Discharge_cfs,3.9,3.87,0.029999999999999805,values_differ
30754441-8c59-4aa4-83e7-c1442d1d33f1,"Maple Creek, NE",2013,2012-11-15,Dissolved_Oxygen_mg_L,7.8,,,method2_missing_method1_has_value
30754441-8c59-4aa4-83e7-c1442d1d33f1,"Maple Creek, NE",2013,2012-11-15,Specific_Conductance,625.0,,,method2_missing_method1_has_value
30754441-8c59-4aa4-83e7-c1442d1d33f1,"Maple Creek, NE",2013,2012-11-15,Water_Temperature_C,6.1,,,method2_missing_method1_has_value
30754441-8c59-4aa4-83e7-c1442d1d33f1,"Maple Creek, NE",2013,2012-11-15,pH,7.8,,,method2_missing_method1_has_value
ba07dcd1-88e4-495c-85e4-7a3ecdb818e1,"Maple Creek, NE",2013,2012-12-17,Discharge_cfs,9.0,8.96,0.03999999999999915,values_differ
ba07dcd1-88e4-495c-85e4-7a3ecdb818e1,"Maple Creek, NE",2013,2012-12-17,Dissolved_Oxygen_mg_L,14.2,,,method2_missing_method1_has_value
ba07dcd1-88e4-495c-85e4-7a3ecdb818e1,"Maple Creek, NE",2013,2012-12-17,Specific_Conductance,595.0,,,method2_missing_method1_has_value
ba07dcd1-88e4-495c-85e4-7a3ecdb818e1,"Maple Creek, NE",2013,2012-12-17,Water_Temperature_C,0.9,,,method2_missing_method1_has_value
ba07dcd1-88e4-495c-85e4-7a3ecdb818e1,"Maple Creek, NE",2013,2012-12-17,pH,7.9,,,method2_missing_method1_has_value
cdaff6ed-b85e-43d6-ab4b-2fcc1faa2431,"Maple Creek, NE",2013,2013-01-23,Discharge_cfs,2.2,2.19,0.010000000000000231,values_differ
cdaff6ed-b85e-43d6-ab4b-2fcc1faa2431,"Maple Creek, NE",2013,2013-01-23,Dissolved_Oxygen_mg_L,18.5,,,method2_missing_method1_has_value
cdaff6ed-b85e-43d6-ab4b-2fcc1faa2431,"Maple Creek, NE",2013,2013-01-23,Specific_Conductance,586.0,,,method2_missing_method1_has_value
cdaff6ed-b85e-43d6-ab4b-2fcc1faa2431,"Maple Creek, NE",2013,2013-01-23,Water_Temperature_C,1.6,,,method2_missing_method1_has_value
cdaff6ed-b85e-43d6-ab4b-2fcc1faa2431,"Maple Creek, NE",2013,2013-01-23,pH,7.8,,,method2_missing_method1_has_value
731737eb-422b-4281-9891-c745f90cb29f,"Maple Creek, NE",2013,2013-02-12,Discharge_cfs,8.3,8.31,-0.009999999999999787,values_differ
731737eb-422b-4281-9891-c745f90cb29f,"Maple Creek, NE",2013,2013-02-12,Dissolved_Oxygen_mg_L,18.6,,,method2_missing_method1_has_value
731737eb-422b-4281-9891-c745f90cb29f,"Maple Creek, NE",2013,2013-02-12,Specific_Conductance,595.0,,,method2_missing_method1_has_value
731737eb-422b-4281-9891-c745f90cb29f,"Maple Creek, NE",2013,2013-02-12,Water_Temperature_C,2.8,,,method2_missing_method1_has_value
731737eb-422b-4281-9891-c745f90cb29f,"Maple Creek, NE",2013,2013-02-12,pH,7.9,,,method2_missing_method1_has_value
65a369de-054c-4558-806b-70d560229547,"Maple Creek, NE",2013,2013-02-26,Discharge_cfs,10.0,10.3,-0.3000000000000007,values_differ
65a369de-054c-4558-806b-70d560229547,"Maple Creek, NE",2013,2013-02-26,Dissolved_Oxygen_mg_L,12.6,,,method2_missing_method1_has_value
65a369de-054c-4558-806b-70d560229547,"Maple Creek, NE",2013,2013-02-26,Specific_Conductance,626.0,,,method2_missing_method1_has_value
65a369de-054c-4558-806b-70d560229547,"Maple Creek, NE",2013,2013-02-26,Water_Temperature_C,0.8,,,method2_missing_method1_has_value
65a369de-054c-4558-806b-70d560229547,"Maple Creek, NE",2013,2013-02-26,pH,7.8,,,method2_missing_method1_has_value
d8a3433d-bc1e-43f3-86d9-fcfbb0a74324,"Maple Creek, NE",2013,2013-03-12,Discharge_cfs,16.0,15.6,0.40000000000000036,values_differ
d8a3433d-bc1e-43f3-86d9-fcfbb0a74324,"Maple Creek, NE",2013,2013-03-12,Dissolved_Oxygen_mg_L,15.5,,,method2_missing_method1_has_value
d8a3433d-bc1e-43f3-86d9-fcfbb0a74324,"Maple Creek, NE",2013,2013-03-12,Specific_Conductance,503.0,,,method2_missing_method1_has_value
d8a3433d-bc1e-43f3-86d9-fcfbb0a74324,"Maple Creek, NE",2013,2013-03-12,Water_Temperature_C,1.8,,,method2_missing_method1_has_value
d8a3433d-bc1e-43f3-86d9-fcfbb0a74324,"Maple Creek, NE",2013,2013-03-12,pH,7.7,,,method2_missing_method1_has_value
8b4df8e7-f063-4ab3-9916-8e0a60707516,"Maple Creek, NE",2013,2013-03-25,Discharge_cfs,21.0,20.9,0.10000000000000142,values_differ
8b4df8e7-f063-4ab3-9916-8e0a60707516,"Maple Creek, NE",2013,2013-03-25,Dissolved_Oxygen_mg_L,19.1,,,method2_missing_method1_has_value
8b4df8e7-f063-4ab3-9916-8e0a60707516,"Maple Creek, NE",2013,2013-03-25,Specific_Conductance,702.0,,,method2_missing_method1_has_value
8b4df8e7-f063-4ab3-9916-8e0a60707516,"Maple Creek, NE",2013,2013-03-25,Water_Temperature_C,0.0,,,method2_missing_method1_has_value
8b4df8e7-f063-4ab3-9916-8e0a60707516,"Maple Creek, NE",2013,2013-03-25,pH,8.1,,,method2_missing_method1_has_value
6bd55ba7-cba8-434a-b557-e3ed77e395ca,"Maple Creek, NE",2013,2013-04-10,Dissolved_Oxygen_mg_L,12.0,,,method2_missing_method1_has_value
6bd55ba7-cba8-434a-b557-e3ed77e395ca,"Maple Creek, NE",2013,2013-04-10,Specific_Conductance,332.0,,,method2_missing_method1_has_value
6bd55ba7-cba8-434a-b557-e3ed77e395ca,"Maple Creek, NE",2013,2013-04-10,Water_Temperature_C,1.7,,,method2_missing_method1_has_value
6bd55ba7-cba8-434a-b557-e3ed77e395ca,"Maple Creek, NE",2013,2013-04-10,pH,7.8,,,method2_missing_method1_has_value
d7a64184-00a7-4df7-9e56-d59f739da092,"Maple Creek, NE",2013,2013-04-24,Discharge_cfs,52.0,51.8,0.20000000000000284,values_differ
d7a64184-00a7-4df7-9e56-d59f739da092,"Maple Creek, NE",2013,2013-04-24,Dissolved_Oxygen_mg_L,9.7,,,method2_missing_method1_has_value
d7a64184-00a7-4df7-9e56-d59f739da092,"Maple Creek, NE",2013,2013-04-24,Specific_Conductance,840.0,,,method2_missing_method1_has_value
d7a64184-00a7-4df7-9e56-d59f739da092,"Maple Creek, NE",2013,2013-04-24,Water_Temperature_C,3.7,,,method2_missing_method1_has_value
d7a64184-00a7-4df7-9e56-d59f739da092,"Maple Creek, NE",2013,2013-04-24,pH,8.2,,,method2_missing_method1_has_value
54d665f1-778c-4c8c-9bbe-b9ffc017fb25,"Maple Creek, NE",2013,2013-05-06,Discharge_cfs,53.0,53.2,-0.20000000000000284,values_differ
54d665f1-778c-4c8c-9bbe-b9ffc017fb25,"Maple Creek, NE",2013,2013-05-06,Dissolved_Oxygen_mg_L,14.9,,,method2_missing_method1_has_value
54d665f1-778c-4c8c-9bbe-b9ffc017fb25,"Maple Creek, NE",2013,2013-05-06,Specific_Conductance,823.0,,,method2_missing_method1_has_value
