Site_Abb,Water_Year,Discharge_cfs,Water_Temperature_C,Dissolved_Oxygen_mg_L,pH,Specific_Conductance,Turbidity_FNU,Turbidity_NTU,Q_daily_mean_cfs
"Accotink R, VA",2013,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Accotink R, VA",2014,100.0,100.0,100.0,100.0,97.0,30.3,0.0,100.0
"Accotink R, VA",2015,100.0,100.0,100.0,95.8,100.0,83.3,0.0,100.0
"Accotink R, VA",2016,100.0,100.0,100.0,100.0,100.0,91.7,0.0,100.0
"Accotink R, VA",2017,100.0,100.0,100.0,100.0,100.0,95.8,0.0,100.0
"Accotink R, VA",2018,100.0,100.0,100.0,100.0,100.0,91.7,0.0,100.0
"Accotink R, VA",2019,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
"Accotink R, VA",2020,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
"Accotink R, VA",2021,100.0,100.0,100.0,100.0,100.0,70.8,0.0,100.0
"Accotink R, VA",2022,100.0,100.0,100.0,100.0,100.0,91.7,0.0,100.0
"Alabama R, AL",2016,100.0,100.0,100.0,92.9,85.7,7.1,0.0,0.0
"Alabama R, AL",2017,100.0,100.0,92.9,100.0,85.7,0.0,0.0,0.0
"Alabama R, AL",2018,100.0,100.0,85.7,100.0,85.7,0.0,0.0,0.0
"Alabama R, AL",2019,100.0,100.0,100.0,100.0,92.9,0.0,0.0,0.0
"Alabama R, AL",2020,100.0,90.9,90.9,45.5,63.6,0.0,0.0,0.0
"Alabama R, AL",2021,100.0,100.0,100.0,92.9,85.7,0.0,0.0,0.0
"Alabama R, AL",2022,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
"Altamaha R, GA",2013,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
"Altamaha R, GA",2014,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
"Altamaha R, GA",2015,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
"Altamaha R, GA",2016,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
"Altamaha R, GA",2017,100.0,100.0,86.7,86.7,100.0,0.0,0.0,0.0
"Altamaha R, GA",2018,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
"Altamaha R, GA",2019,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
"Altamaha R, GA",2020,100.0,100.0,100.0,92.9,100.0,0.0,0.0,0.0
"Altamaha R, GA",2021,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
"Altamaha R, GA",2022,100.0,100.0,100.0,100.0,92.9,0.0,0.0,0.0
"Apalac. R, FL",2013,100.0,100.0,92.9,100.0,100.0,0.0,0.0,100.0
"Apalac. R, FL",2015,100.0,71.4,71.4,71.4,71.4,0.0,0.0,100.0
"Apalac. R, FL",2016,100.0,92.3,92.3,92.3,92.3,0.0,0.0,100.0
"Apalac. R, FL",2017,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Apalac. R, FL",2018,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Apalac. R, FL",2021,100.0,100.0,100.0,90.0,100.0,0.0,0.0,100.0
"Apalac. R, FL",2022,78.6,100.0,100.0,100.0,100.0,0.0,0.0,78.6
"Arkans. R, AR",2013,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
"Arkans. R, AR",2014,84.6,100.0,100.0,84.6,100.0,0.0,0.0,0.0
"Arkans. R, AR",2015,92.9,100.0,100.0,85.7,100.0,0.0,0.0,0.0
"Arkans. R, AR",2016,92.9,100.0,100.0,92.9,100.0,0.0,0.0,0.0
"Arkans. R, AR",2017,92.9,100.0,100.0,92.9,100.0,0.0,0.0,0.0
"Arkans. R, AR",2018,85.7,100.0,100.0,78.6,78.6,0.0,0.0,0.0
"Arkans. R, AR",2019,100.0,100.0,100.0,75.0,83.3,0.0,0.0,0.0
"Arkans. R, AR",2021,100.0,92.9,92.9,42.9,92.9,0.0,0.0,0.0
"Arkans. R, AR",2022,100.0,100.0,100.0,76.9,100.0,0.0,0.0,0.0
"Atchaf. R, LA",2013,100.0,93.8,93.8,100.0,100.0,0.0,0.0,0.0
"Atchaf. R, LA",2014,100.0,93.8,87.5,100.0,93.8,0.0,0.0,0.0
"Atchaf. R, LA",2015,100.0,100.0,93.8,100.0,100.0,0.0,0.0,0.0
"Atchaf. R, LA",2016,93.8,93.8,93.8,93.8,87.5,0.0,0.0,0.0
"Atchaf. R, LA",2017,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
"Atchaf. R, LA",2018,86.7,80.0,80.0,73.3,86.7,0.0,0.0,0.0
"Atchaf. R, LA",2019,64.3,100.0,100.0,100.0,92.9,0.0,0.0,0.0
"Atchaf. R, LA",2020,100.0,100.0,100.0,76.9,92.3,0.0,0.0,0.0
"Atchaf. R, LA",2021,100.0,100.0,100.0,75.0,87.5,0.0,0.0,0.0
"Atchaf. R, LA",2022,100.0,100.0,100.0,87.5,81.2,0.0,0.0,0.0
"Bogue Phalia, MS",2013,100.0,100.0,95.8,100.0,100.0,0.0,0.0,100.0
"Bogue Phalia, MS",2014,100.0,100.0,91.7,58.3,100.0,0.0,0.0,100.0
"Bogue Phalia, MS",2015,100.0,100.0,100.0,100.0,91.7,0.0,0.0,100.0
"Bogue Phalia, MS",2016,100.0,100.0,100.0,100.0,100.0,0.0,0.0,87.5
"Bogue Phalia, MS",2017,100.0,100.0,100.0,79.2,95.8,0.0,0.0,91.7
"Bogue Phalia, MS",2018,100.0,100.0,100.0,95.8,87.5,0.0,0.0,100.0
"Bogue Phalia, MS",2019,100.0,100.0,100.0,75.0,62.5,0.0,0.0,100.0
"Bogue Phalia, MS",2020,100.0,100.0,100.0,87.0,91.3,0.0,0.0,100.0
"Bogue Phalia, MS",2021,100.0,100.0,100.0,91.7,70.8,0.0,0.0,100.0
"Bogue Phalia, MS",2022,100.0,95.2,95.2,76.2,81.0,0.0,0.0,100.0
"Brazos R, TX",2013,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Brazos R, TX",2014,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Brazos R, TX",2015,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Brazos R, TX",2016,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Brazos R, TX",2017,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Brazos R, TX",2018,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Brazos R, TX",2019,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Brazos R, TX",2020,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Brazos R, TX",2021,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Brazos R, TX",2022,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Cana. Creek, NY",2013,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Cana. Creek, NY",2014,100.0,100.0,100.0,95.8,100.0,0.0,0.0,100.0
"Cana. Creek, NY",2015,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Cana. Creek, NY",2016,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Cana. Creek, NY",2017,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
