monitoring_location_id,monitoring_location_name,state_name,drainage_area,time_zone_abbreviation
USGS-01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",Connecticut,9660.0,EST
USGS-01209710,"NORWALK RIVER AT WINNIPAUK,CT.",Connecticut,33.0,EST
USGS-01349150,CANAJOHARIE CREEK NEAR CANAJOHARIE NY,New York,59.7,EST
USGS-01372043,HUDSON RIVER NEAR POUGHKEEPSIE NY,New York,11833.0,EST
USGS-01463500,Delaware River at Trenton NJ,New Jersey,6780.0,EST
USGS-01578310,"SUSQUEHANNA RIVER AT CONOWINGO, MD",Maryland,27100.0,EST
USGS-01646580,"POTOMAC RIVER AT CHAIN BRIDGE, AT WASHINGTON, DC",Virginia,11570.0,EST
USGS-01654000,"ACCOTINK CREEK NEAR ANNANDALE, VA",Virginia,23.9,EST
USGS-02087580,"SWIFT CREEK NEAR APEX, NC",North Carolina,21.0,EST
USGS-02089500,"NEUSE RIVER AT KINSTON, NC",North Carolina,2692.0,EST
USGS-02091500,"CONTENTNEA CREEK AT HOOKERTON, NC",North Carolina,733.0,EST
USGS-02175000,"EDISTO RIVER NR GIVHANS, SC",South Carolina,2730.0,EST
USGS-02226160,"ALTAMAHA RIVER NEAR EVERETT CITY, GA",Georgia,14000.0,EST
USGS-02335870,"SOPE CREEK NEAR MARIETTA, GA",Georgia,30.7,EST
USGS-02338000,"CHATTAHOOCHEE RIVER NEAR WHITESBURG, GA",Georgia,2430.0,EST
USGS-02359170,"APALACHICOLA RIVER NR SUMATRA,FLA.",Florida,19200.0,EST
USGS-02429500,ALABAMA RIVER AT CLAIBORNE AL,Alabama,21967.0,CST
USGS-02469762,TOMBIGBEE R BL COFFEEVILLE L&D NEAR COFFEEVILLE,Alabama,18417.0,CST
USGS-02470500,MOBILE RIVER AT MT VERNON AL,Alabama,42867.0,CST
USGS-03303280,"OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN",Indiana,97000.0,CST
USGS-03374100,"WHITE RIVER AT HAZLETON, IN",Indiana,11305.0,EST
USGS-03378500,"WABASH RIVER AT NEW HARMONY, IN",Indiana,29234.0,CST
USGS-03609750,"TENNESSEE RIVER AT HIGHWAY 60 NEAR PADUCAH, KY",Kentucky,40330.0,CST
USGS-03612500,"OHIO RIVER AT DAM 53 NEAR GRAND CHAIN, IL",Illinois,203100.0,CST
USGS-03612600,"OHIO RIVER AT OLMSTED, IL",Illinois,203000.0,CST
USGS-04161820,"CLINTON RIVER AT STERLING HEIGHTS, MI",Michigan,309.0,EST
USGS-04193500,Maumee River at Waterville OH,Ohio,6330.0,EST
