variable,match_status,matching_method,n
Discharge_cfs,matched,continuous_nearest_30min,758
Discharge_cfs,matched,daily_mean_same_sample_date,59
Discharge_cfs,matched,discrete_same_activity,11824
Discharge_cfs,matched,discrete_time_match,38
Discharge_cfs,missing,,217
Dissolved_Oxygen_mg_L,matched,continuous_nearest_30min,86
Dissolved_Oxygen_mg_L,matched,discrete_same_activity,12346
Dissolved_Oxygen_mg_L,matched,discrete_time_match,17
Dissolved_Oxygen_mg_L,missing,,447
Specific_Conductance,matched,continuous_nearest_30min,145
Specific_Conductance,matched,discrete_same_activity,12358
Specific_Conductance,matched,discrete_time_match,19
Specific_Conductance,missing,,374
Turbidity_FNU,matched,continuous_nearest_30min,1387
Turbidity_FNU,matched,discrete_same_activity,1841
Turbidity_FNU,matched,discrete_time_match,157
Turbidity_FNU,missing,,9511
Water_Temperature_C,matched,continuous_nearest_30min,168
Water_Temperature_C,matched,discrete_same_activity,12422
Water_Temperature_C,matched,discrete_time_match,27
Water_Temperature_C,missing,,279
pH,matched,continuous_nearest_30min,159
pH,matched,discrete_same_activity,12232
pH,matched,discrete_time_match,18
pH,missing,,487
