field,available,missing,available_pct
Pesticide_Site,0,77376,0.0
Site_Abb,77376,0,100.0
Activity_StartDate,77376,0,100.0
Activity_StartTime,77376,0,100.0
Activity_StartTimeZone,77376,0,100.0
sample_datetime_utc,77376,0,100.0
source_station_id,77376,0,100.0
source_parameter_code,77376,0,100.0
observation_date,2979,74397,3.85
observation_datetime_local,0,77376,0.0
observation_timezone,0,77376,0.0
observation_utc_offset,0,77376,0.0
observation_datetime_utc,2979,74397,3.85
original_value,66061,11315,85.38
original_unit,0,77376,0.0
standard_value,66061,11315,85.38
standard_unit,77376,0,100.0
matching_method,66061,11315,85.38
time_offset_minutes,2979,74397,3.85
absolute_time_gap_minutes,66002,11374,85.3
allowed_window_minutes,66002,11374,85.3
matching_window_type,66061,11315,85.38
aggregation_interval,66061,11315,85.38
quality_flag,0,77376,0.0
missing_reason,11315,66061,14.62
retrieval_status,77376,0,100.0
retrieval_date,0,77376,0.0
source_query,0,77376,0.0
