Variable,Source,Count,Percent
Discharge_cfs,discrete_same_activity,11824,91.69
Discharge_cfs,continuous_nearest_30min,758,5.88
Discharge_cfs,missing,217,1.68
Discharge_cfs,daily_mean_same_sample_date,59,0.46
Discharge_cfs,discrete_time_match,38,0.29
Water_Temperature_C,discrete_same_activity,12422,96.32
Water_Temperature_C,missing,279,2.16
Water_Temperature_C,continuous_nearest_30min,168,1.3
Water_Temperature_C,discrete_time_match,27,0.21
Dissolved_Oxygen_mg_L,discrete_same_activity,12346,95.74
Dissolved_Oxygen_mg_L,missing,447,3.47
Dissolved_Oxygen_mg_L,continuous_nearest_30min,86,0.67
Dissolved_Oxygen_mg_L,discrete_time_match,17,0.13
pH,discrete_same_activity,12232,94.85
pH,missing,487,3.78
pH,continuous_nearest_30min,159,1.23
pH,discrete_time_match,18,0.14
Specific_Conductance_uScm,discrete_same_activity,12358,95.83
Specific_Conductance_uScm,missing,374,2.9
Specific_Conductance_uScm,continuous_nearest_30min,145,1.12
Specific_Conductance_uScm,discrete_time_match,19,0.15
Turbidity_FNU,missing,9511,73.75
Turbidity_FNU,discrete_same_activity,1841,14.28
Turbidity_FNU,continuous_nearest_30min,1387,10.76
Turbidity_FNU,discrete_time_match,157,1.22
