Pesticide_Name,USGSpcode,n_chemical_result_rows,n_sampling_activities,n_analysis_sites,pct_of_81_analysis_sites,n_water_years_present,first_date,last_date,n_nondetect_rows,n_other_condition_rows,n_detection_condition_missing,reporting_level_min_ugL,reporting_level_median_ugL,reporting_level_max_ugL,conc_median_ugL,conc_q25_ugL,conc_q75_ugL,conc_max_ugL,n_sites_with_non_nondetect_value,dc_window_rows,dc_window_activities,outside_dc_window_rows,outside_dc_window_activities,peak_season_by_non_nondetect_fraction,pct_rows_matched_Discharge_cfs,pct_activities_matched_Discharge_cfs,pct_rows_matched_Water_Temperature_C,pct_activities_matched_Water_Temperature_C,pct_rows_matched_Dissolved_Oxygen_mg_L,pct_activities_matched_Dissolved_Oxygen_mg_L,pct_rows_matched_pH,pct_activities_matched_pH,pct_rows_matched_Turbidity_FNU,pct_activities_matched_Turbidity_FNU,pct_rows_matched_Specific_Conductance,pct_activities_matched_Specific_Conductance
"1H-1,2,4-Triazole",68498,5250,5250,75,92.6,10,2012-10-01,2022-09-29,4013,1237,1237,0.022,0.04,0.0831,0.079,0.0447,0.168,5.35,51,4659,4659,591,591,SON,97.6,97.6,99.5,99.5,98.2,98.2,98.0,98.0,24.7,24.7,98.3,98.3
"2,4-D",68500,11629,11629,81,100.0,10,2012-10-01,2022-09-29,5244,6385,6385,0.062,0.062,0.104,0.107,0.0542,0.232,34.5,80,10179,10179,1450,1450,MAM,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.4,25.4,98.4,98.4
3-Phenoxybenzoic acid,68873,12676,12676,81,100.0,10,2012-10-01,2022-09-29,12656,20,20,0.061,0.1,4.0,0.060950000000000004,0.029875,0.107,0.17,8,11106,11106,1570,1570,JJA,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,25.9,25.9,98.4,98.4
4-Hydroxychlorothalonil,68336,8885,8885,80,98.8,10,2012-10-01,2022-09-27,7652,1233,1233,0.042,0.098,0.098,0.0805,0.0406,0.176,11.3,50,8329,8329,556,556,SON,98.5,98.5,99.3,99.3,98.3,98.3,98.3,98.3,23.1,23.1,98.7,98.7
AMPA,62649,6967,6967,77,95.1,8,2014-10-06,2022-09-27,662,6305,6305,0.02,0.02,0.02,0.19,0.08,0.4,5.6,76,6518,6518,449,449,JJA,99.6,99.6,99.0,99.0,98.4,98.4,98.1,98.1,29.8,29.8,98.6,98.6
Acephate,68519,12047,12047,81,100.0,10,2012-10-01,2022-09-29,9888,2159,2159,0.005,0.01,0.025,0.0269,0.01195,0.0754,10.4,62,10515,10515,1532,1532,SON,98.3,98.3,99.1,99.1,98.2,98.2,97.8,97.8,26.1,26.1,98.4,98.4
Acetochlor,68520,11537,11537,80,98.8,10,2012-10-01,2022-09-29,8803,2734,2734,0.005,0.01,0.025,0.0459,0.019525,0.152,137.0,59,10272,10272,1265,1265,JJA,98.5,98.5,99.2,99.2,98.3,98.3,97.9,97.9,25.2,25.2,98.5,98.5
Acetochlor ESA,68523,6009,6009,80,98.8,9,2012-10-01,2022-09-26,4662,1347,1347,0.1,0.1,0.32,0.289,0.155,0.527,3.46,42,5635,5635,374,374,JJA,98.8,98.8,99.5,99.5,98.2,98.2,98.6,98.6,21.4,21.4,99.0,99.0
Acetochlor OA,68522,12348,12348,81,100.0,10,2012-10-01,2022-09-29,8813,3535,3535,0.065,0.09,0.1,0.174,0.08155000000000001,0.382,4.5,53,10779,10779,1569,1569,JJA,98.3,98.3,99.2,99.2,98.2,98.2,97.9,97.9,25.9,25.9,98.5,98.5
Atrazine,65065,12116,12116,81,100.0,10,2012-10-01,2022-09-29,2935,9181,9181,0.005,0.0068,0.025,0.043,0.0114,0.186,38.9,81,10625,10625,1491,1491,JJA,98.4,98.4,99.1,99.1,98.2,98.2,97.8,97.8,25.4,25.4,98.4,98.4
