Pesticide_Name,USGSpcode,n_chemical_result_rows,n_sampling_activities,n_analysis_sites,n_site_abbreviations,first_date,last_date,n_water_years,n_nondetect_rows,n_other_detection_condition_rows,n_detection_condition_missing,reporting_level_min_ugL,reporting_level_median_ugL,reporting_level_max_ugL,reporting_level_changed_over_time,detected_or_other_value_median_ugL,detected_or_other_value_max_ugL,pct_rows_with_5_core_env_vars,pct_rows_with_all_6_env_vars,dc_window_rows,dc_window_activities,outside_dc_window_rows,outside_dc_window_activities
"1H-1,2,4-Triazole",68498,5250,5250,75,75,2012-10-01,2022-09-29,10,4013,1237,0,0.022,0.04,0.0831,True,0.079,5.35,93.9,24.0,4659,4659,591,591
"2,4-D",68500,11629,11629,81,81,2012-10-01,2022-09-29,10,5244,6385,0,0.062,0.062,0.104,True,0.107,34.5,94.1,24.6,10179,10179,1450,1450
3-Phenoxybenzoic acid,68873,12676,12676,81,81,2012-10-01,2022-09-29,10,12656,20,0,0.061,0.1,4.0,True,0.060950000000000004,0.17,94.3,25.1,11106,11106,1570,1570
4-Hydroxychlorothalonil,68336,8885,8885,80,80,2012-10-01,2022-09-27,10,7652,1233,0,0.042,0.098,0.098,True,0.0805,11.3,95.0,22.7,8329,8329,556,556
AMPA,62649,6967,6967,77,77,2014-10-06,2022-09-27,8,662,6305,0,0.02,0.02,0.02,False,0.19,5.6,95.8,29.2,6518,6518,449,449
Acephate,68519,12047,12047,81,81,2012-10-01,2022-09-29,10,9888,2159,0,0.005,0.01,0.025,True,0.0269,10.4,94.2,25.3,10515,10515,1532,1532
Acetochlor,68520,11537,11537,80,80,2012-10-01,2022-09-29,10,8803,2734,0,0.005,0.01,0.025,True,0.0459,137.0,94.5,24.6,10272,10272,1265,1265
Acetochlor ESA,68523,6009,6009,80,80,2012-10-01,2022-09-26,9,4662,1347,0,0.1,0.1,0.32,True,0.289,3.46,95.6,21.2,5635,5635,374,374
Acetochlor OA,68522,12348,12348,81,81,2012-10-01,2022-09-29,10,8813,3535,0,0.065,0.09,0.1,True,0.174,4.5,94.4,25.1,10779,10779,1569,1569
Atrazine,65065,12116,12116,81,81,2012-10-01,2022-09-29,10,2935,9181,0,0.005,0.0068,0.025,True,0.043,38.9,94.3,24.6,10625,10625,1491,1491
Azoxystrobin,66589,11825,11825,80,80,2012-10-01,2022-09-29,10,4739,7086,0,0.0015,0.003,0.003,True,0.00404,2.91,94.5,24.7,10448,10448,1377,1377
Bentazon,68538,9772,9772,81,81,2012-10-01,2022-09-29,10,6969,2803,0,0.009,0.009,0.01,True,0.0088,19.0,94.6,23.3,8649,8649,1123,1123
Bromacil,68542,5987,5987,80,80,2012-10-01,2022-09-22,10,3413,2574,0,0.0028,0.006,0.00706,True,0.0102,5.42,95.4,20.3,5678,5678,309,309
Bromoxynil,68543,12699,12699,81,81,2012-10-01,2022-09-29,10,12606,93,0,0.06,0.079,0.79,True,0.0225,0.635,94.3,25.1,11127,11127,1572,1572
CAAT,68547,11409,11409,81,81,2012-10-01,2022-09-29,10,6124,5285,0,0.012,0.025,0.0526,True,0.0987,1.82,94.5,24.0,10188,10188,1221,1221
CEAT,68550,11117,11117,80,80,2012-10-01,2022-09-29,10,6455,4662,0,0.01,0.02,0.025,True,0.0368,1.54,94.3,24.7,10061,10061,1056,1056
CIAT,68552,11119,11119,80,80,2012-10-01,2022-09-29,10,3955,7164,0,0.0055,0.011,0.025,True,0.0286,3.53,94.5,25.1,9918,9918,1201,1201
Carbaryl,65069,12609,12609,81,81,2012-10-01,2022-09-29,10,11626,983,0,0.0028,0.006,0.25,True,0.00594,1.67,94.2,24.7,11038,11038,1571,1571
Carbendazim,68548,10569,10569,80,80,2012-10-01,2022-09-29,10,5280,5289,0,0.003,0.01,0.0114,True,0.0141,2.64,94.7,23.9,9267,9267,1302,1302
Chlorimuron-ethyl,68872,9128,9128,80,80,2012-10-01,2021-09-30,9,8388,740,0,0.0044,0.0088,0.01,True,0.0116,0.704,94.8,22.7,8895,8895,233,233
Chlorpyrifos,65072,12698,12698,81,81,2012-10-01,2022-09-29,10,12416,282,0,0.0015,0.003,0.025,True,0.003125,0.0661,94.3,25.2,11126,11126,1572,1572
DCPMU,68231,9296,9296,80,80,2012-10-01,2022-09-27,10,5525,3771,0,0.0025,0.005,0.005,True,0.00654,1.21,94.9,23.6,8875,8875,421,421
Dechlorometolachlor,68562,12479,12479,81,81,2012-10-01,2022-09-29,10,6504,5975,0,0.001,0.002,0.005,True,0.00718,1.55,94.2,25.0,11033,11033,1446,1446
Desulfinylfipronil,66607,11043,11043,81,81,2012-10-01,2022-09-29,10,9692,1351,0,0.0038,0.0038,0.004,True,0.00246,0.0183,94.7,23.6,9900,9900,1143,1143
Diazinon,65078,12693,12693,81,81,2012-10-01,2022-09-29,10,12368,325,0,0.0014,0.003,0.0368,True,0.00227,0.0896,94.3,25.2,11121,11121,1572,1572
Dicamba,68571,12666,12666,81,81,2012-10-01,2022-09-29,10,12272,394,0,0.5,0.8,24.0,True,0.7244999999999999,21.0,94.4,25.0,11098,11098,1568,1568
Dichlorvos,68572,12692,12692,81,81,2012-10-01,2022-09-29,10,12642,50,0,0.026,0.052,0.26,True,0.052750000000000005,0.376,94.3,25.2,11122,11122,1570,1570
Dicrotophos,68573,12593,12593,81,81,2012-10-01,2022-09-29,10,12373,220,0,0.002,0.004,1.0,True,0.005555,3.58,94.3,25.1,11097,11097,1496,1496
Diflubenzuron,68576,12698,12698,81,81,2012-10-01,2022-09-29,10,12633,65,0,0.003,0.006,0.25,True,0.00256,0.0377,94.3,25.2,11126,11126,1572,1572
Diketonitrile-isoxaflutole,68578,10051,10051,80,80,2012-10-01,2022-09-29,10,8562,1489,0,0.01,0.062,0.062,True,0.0163,2.13,94.4,23.9,9000,9000,1051,1051
Dimethenamid,68580,12149,12149,81,81,2012-10-01,2022-09-29,10,7397,4752,0,0.0015,0.003,0.005,True,0.00832,4.89,94.4,25.1,10766,10766,1383,1383
Dimethoate,66596,12687,12687,81,81,2012-10-01,2022-09-29,10,12443,244,0,0.0023,0.0046,0.25,True,0.005345,0.683,94.3,25.1,11115,11115,1572,1572
Diuron,66598,9221,9221,80,80,2012-10-01,2022-09-21,10,4037,5184,0,0.005,0.005,0.0164,True,0.0195,27.7,94.9,23.0,8840,8840,381,381
Ethoprophos,68596,12700,12700,81,81,2012-10-01,2022-09-29,10,12400,300,0,0.0025,0.005,0.025,True,0.00708,0.861,94.3,25.2,11128,11128,1572,1572
Etoxazole,68598,12552,12552,81,81,2012-10-01,2022-09-29,10,12528,24,0,0.002,0.0042,0.25,True,0.001155,0.00438,94.4,25.2,10980,10980,1572,1572
Fipronil,66604,11303,11303,81,81,2012-10-01,2022-09-29,10,8727,2576,0,0.004,0.004,0.004,False,0.0032,0.121,94.5,24.2,9992,9992,1311,1311
Fipronil amide,68604,8047,8047,80,80,2012-10-01,2022-09-29,10,6513,1534,0,0.009,0.009,0.0092,True,0.00953,0.0876,95.7,20.5,7267,7267,780,780
Fipronil sulfide,66610,12706,12706,81,81,2012-10-01,2022-09-29,10,11631,1075,0,0.004,0.0042,0.25,True,0.00185,0.0112,94.3,25.1,11134,11134,1572,1572
Fipronil sulfone,66613,12100,12100,81,81,2012-10-01,2022-09-29,10,10356,1744,0,0.004,0.0056,0.0056,True,0.00346,0.0203,94.3,24.7,10581,10581,1519,1519
Fluometuron,68608,12699,12699,81,81,2012-10-01,2022-09-29,10,12045,654,0,0.0017,0.01,0.25,True,0.0197,37.6,94.3,25.2,11127,11127,1572,1572
Glyphosate,62722,6975,6975,77,77,2014-10-06,2022-09-27,8,1710,5265,0,0.02,0.02,0.02,False,0.09,8.1,95.8,29.3,6525,6525,450,450
Halosulfuron methyl,61680,12655,12655,81,81,2012-10-01,2022-09-29,10,12574,81,0,0.012,0.022,0.25,True,0.0102,1.72,94.3,25.1,11128,11128,1527,1527
Hexazinone,65085,11815,11815,80,80,2012-10-01,2022-09-29,10,8901,2914,0,0.0018,0.0036,0.0036,True,0.00202,0.345,94.4,24.7,10491,10491,1324,1324
Hydroxymetolachlor,68622,12307,12307,81,81,2012-10-01,2022-09-29,10,7003,5304,0,0.0012,0.0025,0.01,True,0.0117,2.21,94.2,25.0,10889,10889,1418,1418
Hydroxysimazine,68624,9843,9843,81,81,2012-10-01,2022-09-29,10,7293,2550,0,0.003,0.1,0.12,True,0.0154,0.394,94.8,25.0,8422,8422,1421,1421
Imazethapyr,61683,11850,11850,80,80,2012-10-01,2022-09-29,10,9055,2795,0,0.008,0.02,0.02,True,0.0161,1.41,94.3,24.8,10477,10477,1373,1373
Imidacloprid,68426,12086,12086,81,81,2012-10-01,2022-09-29,10,6655,5431,0,0.0081,0.016,0.025,True,0.0271,2.27,94.3,24.9,10730,10730,1356,1356
Linuron,68639,12699,12699,81,81,2012-10-01,2022-09-29,10,12547,152,0,0.0028,0.0056,0.05,True,0.004425,0.153,94.3,25.2,11127,11127,1572,1572
Malathion,65087,12677,12677,81,81,2012-10-01,2022-09-29,10,12578,99,0,0.0027,0.006,0.25,True,0.00641,2.0,94.3,25.1,11106,11106,1571,1571
Metalaxyl,68437,11739,11739,81,81,2012-10-01,2022-09-29,10,8479,3260,0,0.003,0.006,0.006,True,0.005425,2.75,94.5,24.9,10345,10345,1394,1394
Metconazole,66620,12140,12140,81,81,2012-10-02,2022-09-29,10,11924,216,0,0.0025,0.005,0.05,True,0.00439,0.216,94.1,25.6,10628,10628,1512,1512
Methamidophos,68644,12694,12694,81,81,2012-10-01,2022-09-29,10,12344,350,0,0.003,0.01,0.25,True,0.03685,1.3,94.3,25.2,11123,11123,1571,1571
Methomyl,68645,12699,12699,81,81,2012-10-01,2022-09-29,10,12444,255,0,0.0015,0.003,0.05,True,0.00363,0.749,94.3,25.2,11128,11128,1571,1571
Methoxyfenozide,68647,11028,11028,81,81,2012-10-01,2022-09-29,10,8103,2925,0,0.0011,0.0022,0.0022,True,0.00182,1.85,94.4,23.6,9644,9644,1384,1384
Metolachlor,65090,12594,12594,81,81,2012-10-02,2022-09-29,10,4168,8426,0,0.0032,0.009,0.01,True,0.03475,134.0,94.3,25.0,11038,11038,1556,1556
Metolachlor ESA,68651,12466,12466,80,80,2012-10-01,2022-09-29,10,5607,6859,0,0.068,0.068,0.25,True,0.265,10.3,94.3,25.1,10947,10947,1519,1519
Metolachlor OA,68650,10655,10655,80,80,2012-10-01,2022-09-29,10,7264,3391,0,0.149,0.149,0.25,True,0.276,12.8,94.5,24.4,9245,9245,1410,1410
Metribuzin,68652,10994,10994,81,81,2012-10-01,2022-09-29,10,9014,1980,0,0.01,0.02,0.025,True,0.03925,34.1,94.2,24.6,10232,10232,762,762
Myclobutanil,66632,12696,12696,81,81,2012-10-01,2022-09-29,10,11903,793,0,0.0035,0.007,0.05,True,0.00649,0.235,94.3,25.2,11124,11124,1572,1572
OIAT,68659,11372,11372,81,81,2012-10-01,2022-09-29,10,6229,5143,0,0.002,0.004,0.005,True,0.00786,0.556,94.6,24.8,9990,9990,1382,1382
