Activity_ActivityIdentifier,Site_Abb,Activity_StartDate,variable,G_value,mine_value,difference_G_minus_mine,issue
d29cc968-cfa9-4152-862b-9b5a5b26dc63,"Hudson R, NY",2019-04-16,Turbidity_FNU,12.2,,,G missing (mine has value)
0e74f456-cda4-42e8-9b3a-557b5a1d1e44,"Maple Creek, NE",2012-10-17,Dissolved_Oxygen_mg_L,,10.0,,mine missing (G has value)
0e74f456-cda4-42e8-9b3a-557b5a1d1e44,"Maple Creek, NE",2012-10-17,Specific_Conductance,,428.0,,mine missing (G has value)
0e74f456-cda4-42e8-9b3a-557b5a1d1e44,"Maple Creek, NE",2012-10-17,Water_Temperature_C,,13.2,,mine missing (G has value)
0e74f456-cda4-42e8-9b3a-557b5a1d1e44,"Maple Creek, NE",2012-10-17,pH,,7.7,,mine missing (G has value)
30754441-8c59-4aa4-83e7-c1442d1d33f1,"Maple Creek, NE",2012-11-15,Dissolved_Oxygen_mg_L,,7.8,,mine missing (G has value)
30754441-8c59-4aa4-83e7-c1442d1d33f1,"Maple Creek, NE",2012-11-15,Specific_Conductance,,625.0,,mine missing (G has value)
30754441-8c59-4aa4-83e7-c1442d1d33f1,"Maple Creek, NE",2012-11-15,Water_Temperature_C,,6.1,,mine missing (G has value)
30754441-8c59-4aa4-83e7-c1442d1d33f1,"Maple Creek, NE",2012-11-15,pH,,7.8,,mine missing (G has value)
ba07dcd1-88e4-495c-85e4-7a3ecdb818e1,"Maple Creek, NE",2012-12-17,Dissolved_Oxygen_mg_L,,14.2,,mine missing (G has value)
ba07dcd1-88e4-495c-85e4-7a3ecdb818e1,"Maple Creek, NE",2012-12-17,Specific_Conductance,,595.0,,mine missing (G has value)
ba07dcd1-88e4-495c-85e4-7a3ecdb818e1,"Maple Creek, NE",2012-12-17,Water_Temperature_C,,0.9,,mine missing (G has value)
ba07dcd1-88e4-495c-85e4-7a3ecdb818e1,"Maple Creek, NE",2012-12-17,pH,,7.9,,mine missing (G has value)
cdaff6ed-b85e-43d6-ab4b-2fcc1faa2431,"Maple Creek, NE",2013-01-23,Dissolved_Oxygen_mg_L,,18.5,,mine missing (G has value)
cdaff6ed-b85e-43d6-ab4b-2fcc1faa2431,"Maple Creek, NE",2013-01-23,Specific_Conductance,,586.0,,mine missing (G has value)
cdaff6ed-b85e-43d6-ab4b-2fcc1faa2431,"Maple Creek, NE",2013-01-23,Water_Temperature_C,,1.6,,mine missing (G has value)
cdaff6ed-b85e-43d6-ab4b-2fcc1faa2431,"Maple Creek, NE",2013-01-23,pH,,7.8,,mine missing (G has value)
731737eb-422b-4281-9891-c745f90cb29f,"Maple Creek, NE",2013-02-12,Dissolved_Oxygen_mg_L,,18.6,,mine missing (G has value)
731737eb-422b-4281-9891-c745f90cb29f,"Maple Creek, NE",2013-02-12,Specific_Conductance,,595.0,,mine missing (G has value)
731737eb-422b-4281-9891-c745f90cb29f,"Maple Creek, NE",2013-02-12,Water_Temperature_C,,2.8,,mine missing (G has value)
731737eb-422b-4281-9891-c745f90cb29f,"Maple Creek, NE",2013-02-12,pH,,7.9,,mine missing (G has value)
65a369de-054c-4558-806b-70d560229547,"Maple Creek, NE",2013-02-26,Dissolved_Oxygen_mg_L,,12.6,,mine missing (G has value)
65a369de-054c-4558-806b-70d560229547,"Maple Creek, NE",2013-02-26,Specific_Conductance,,626.0,,mine missing (G has value)
65a369de-054c-4558-806b-70d560229547,"Maple Creek, NE",2013-02-26,Water_Temperature_C,,0.8,,mine missing (G has value)
65a369de-054c-4558-806b-70d560229547,"Maple Creek, NE",2013-02-26,pH,,7.8,,mine missing (G has value)
d8a3433d-bc1e-43f3-86d9-fcfbb0a74324,"Maple Creek, NE",2013-03-12,Dissolved_Oxygen_mg_L,,15.5,,mine missing (G has value)
d8a3433d-bc1e-43f3-86d9-fcfbb0a74324,"Maple Creek, NE",2013-03-12,Specific_Conductance,,503.0,,mine missing (G has value)
d8a3433d-bc1e-43f3-86d9-fcfbb0a74324,"Maple Creek, NE",2013-03-12,Water_Temperature_C,,1.8,,mine missing (G has value)
d8a3433d-bc1e-43f3-86d9-fcfbb0a74324,"Maple Creek, NE",2013-03-12,pH,,7.7,,mine missing (G has value)
8b4df8e7-f063-4ab3-9916-8e0a60707516,"Maple Creek, NE",2013-03-25,Dissolved_Oxygen_mg_L,,19.1,,mine missing (G has value)
8b4df8e7-f063-4ab3-9916-8e0a60707516,"Maple Creek, NE",2013-03-25,Specific_Conductance,,702.0,,mine missing (G has value)
8b4df8e7-f063-4ab3-9916-8e0a60707516,"Maple Creek, NE",2013-03-25,Water_Temperature_C,,0.0,,mine missing (G has value)
8b4df8e7-f063-4ab3-9916-8e0a60707516,"Maple Creek, NE",2013-03-25,pH,,8.1,,mine missing (G has value)
